TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
domestic_cat | A domestic cat species, the farmed and pet variant rather than wild felines. | species:felid
domestic_dog | A domestic dog species, the farmed and pet variant rather than wild canids. | species:canid
domestic_ferret | A domestic ferret species, the pet variant of the European polecat. | species:mustelid
domestic_pig | A farmed pig species, bred for livestock rather than wild boar. | species:other
domestic_rabbit | A domestic rabbit species, the farmed and pet variant rather than wild hares. | species:lagomorph
domestic_sheep | A domestic sheep species, the farmed woolly variant rather than wild mountain breeds. | species:bovid
dragon_horns | A dragon pair of horns on the character, the horned head anatomy as the feature. | head:general
dragon_tail | A dragon-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
dragon_wings | Large leathery dragon-style wings, membrane stretched between bone spars. | anatomy:fantasy
elderly | Visibly aged character with grey fur or hair, age lines, and body proportions of a senior. | age
equid | An equid character of the horse family, the broader horse-derived species group. | species:equid
erection | The state of a penis becoming or being erect, visible hardness. | genitalia:male
fang | Single elongated pointed tooth, the fang as the noted anatomy or body feature. | head:mouth
fat | Soft, heavy build with rounded body and visible padding across belly, thighs, and hips. | body_type
felid | A felid character of the cat family, the broader cat-derived species group. | species:felid
felis | A Felis genus character, the genus encompassing domestic and small wild cats. | species:felid
fish | A fish species character, gilled aquatic vertebrate of any specific or generic type. | species:fish
herpestid | A member of the mongoose family, slender-bodied carnivore species group. | species:other
hindpaw | Hindpaw, the hindpaw as the noted anatomy or body feature. | anatomy:limbs
humanoid_genitalia | A character with humanoid-style genitalia rather than species-specific anatomy. | species:other
knotted_penis | A penis with a swelling knot at the base, canine or fantasy anatomy. | genitalia:male
lamia | A serpent-bodied female creature from Greek mythology, humanoid upper and snake lower. | species:mythical
leporid | A leporid character of the rabbit family, the broader rabbit-derived species group. | species:lagomorph
mammal | A mammal-class species character, warm-blooded with fur and live birth. | species:other
markings | Distinctive coat or skin markings, the patterned colouration the noted feature. | coat:pattern
marsupial | A marsupial species character, pouched mammal class including kangaroos and opossums. | species:other
murid | A member of the mouse and rat family, rodent species group. | species:other
muscular_anthro | An anthro character with heavily muscled build, the bulk specifically anthro-framed. | species:other
muscular_female | Female character with pronounced muscle definition, ranging from athletic to bodybuilder-level bulk. | body_type
mythological_avian | A mythological avian species, fantasy or legendary bird-derived creature. | species:avian
mythological_canine | A mythological canine species, fantasy or legendary dog-derived creature. | species:canid
mythological_creature | A creature from mythology rather than real-world biology, general tag for mythic species. | species:other
mythological_equine | A mythological equine species, fantasy or legendary horse-derived creature. | species:equid
mythological_scalie | A mythological scalie species, fantasy or legendary reptilian-derived creature. | species:reptile
pantherine | A pantherine character, the subfamily of large cats including lions, tigers, and leopards. | species:felid
pawpads | Soft paw pads, the pawpads as the noted anatomy or body feature. | anatomy:limbs
penile | General tag relating to penis involvement in the scene, adjective-level marker. | genitalia:male
penis_tip | The glans or head of the penis, the tip specifically in focus. | genitalia:male
pinniped | A pinniped character of the seal family, marine flippered mammals including seals and walruses. | species:marine
primate | A primate character, the order encompassing apes, monkeys, and prosimians. | species:primate
procyonid | A member of the raccoon family, ringtailed or banded mammals including coatis and kinkajous. | species:other
sciurid | A sciurid character of the squirrel family, the broader squirrel-derived species group. | species:rodent
testicles | Testicles visible in the scene, scrotal anatomy on display. | genitalia:male
throbbing | A throbbing pulsing anatomical state, the rhythmic swelling as the noted feature. | anatomy:general
vein | A visible vein on the body or anatomy, the surface vasculature as the feature. | anatomy:general
veins | Prominent visible veins across the body or anatomy, the vascular detail as the feature. | anatomy:general
vulva | The external female genitalia, the visible anatomy including labia and clitoris. | genitalia:female
werecanid | A shapeshifting canine creature, wolf or dog equivalent of werewolf framing. | species:mythical
werecreature | A shapeshifting creature that alternates between human and animal form, general weretype. | species:mythical
young | General tag for a youthful character, applied when age is a relevant framing but more specific tags don't fit. | age


================================================================================
E621 IMPORT v2 - 2026-04-15
================================================================================
# Permissive import: dropped artist/character/modeler/meta categories
# These need re-sorting into appropriate sections

1_horn | A character with a single horn, unicorn or minor-fantasy silhouette. | anatomy:fantasy
2_horns | A character with two horns, the classic bovine or demon silhouette. | anatomy:fantasy
2_penises | A character with two penises (diphallism), the doubled phallic anatomy displayed. | genitalia:male
2_tails | Character with two tails, the 2 tails as the noted anatomy or body feature. | anatomy:tail
3_claws | 3 claws on the character, the claw feature as the noted detail. | anatomy:limbs
3_horns | A character with three horns, often triceratops-style or fantasy anatomy. | anatomy:fantasy
3_tails | Character with three tails, the 3 tails as the noted anatomy or body feature. | anatomy:tail
4_balls | A character with four testicles, extra pair beyond standard anatomy. | genitalia:male
4_breasts | 4 breasts on the character, the breast feature as the noted detail. | anatomy:torso
4_claws | 4 claws on the character, the claw feature as the noted detail. | anatomy:limbs
4_horns | A character with four horns, fantasy anatomy with extra pairs. | anatomy:fantasy
4_wings | A character with four wings, insect or fantasy anatomy with additional pairs. | anatomy:fantasy
6_breasts | 6 breasts on the character, the breast feature as the noted detail. | anatomy:torso
6_nipples | 6 nipples on the character, the nipple feature as the noted detail. | anatomy:torso
9_tails | Character with nine tails (kitsune-style), the 9 tails as the noted anatomy or body feature. | anatomy:tail
absurdly_long_hair | Absurdly long hair reaching far past the body, exaggerated length as the feature. | hair:style
ambiguous_anthro | An anthro character of ambiguous sex, gender not clearly indicated by anatomy. | species:other
ambiguous_feral | A feral (fully quadrupedal) character of ambiguous sex, gender not visually clear. | species:other
ambiguous_species | A character whose species cannot be clearly identified from the depiction. | species:other
anatomically_correct_vulva | A vulva drawn accurately to the species rather than humanised. | genitalia:female
andromorph_anthro | Anthro character with intersex anatomy presenting visibly masculine — male build with additional female genitalia. | gender
angel_wings | Large white or pale feathered wings in the angelic aesthetic, dove-proportioned. | anatomy:fantasy
anglerfish | An anglerfish species character, deep-sea predator with a luminescent lure on its head. | species:fish
