TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
zoological_gardens | A full-sized zoological garden zoo, animal enclosures and walking paths framing the public-exhibit setting. | meta:setting

================================================================================
STORY FORMAT & META
================================================================================
adult | Content intended for mature audiences only | meta:format
adventure | Action and exploration driven narrative | meta:format
angst | Emotional pain, turmoil, and suffering | meta:format
AU | Alternate universe — same characters, different setting/rules | meta:format
comfort | Soothing, reassuring, nurturing content | meta:format
coming_of_age | Character maturing through formative experiences | meta:format
cozy | Warm, safe, comfortable atmosphere | meta:format
crack_fic | Absurd, intentionally ridiculous content | meta:format
dark | Story with bleak, harsh, or morally challenging tone | meta:format
dark_comedy | Humor mixed with dark or taboo themes | meta:format
dominant_pov | Scene viewed from dom's eyes | meta:format
drabble | Very short fiction (typically 100 words) | meta:format
enemies_to_lovers_trope | Narrative trope tag for enemies becoming romantic | meta:format
epistolary | Story told through letters, messages, or documents | meta:format
erotic | Containing sexually arousing content | meta:format
erotica | Literature focused on sexual arousal and desire | meta:format
explicit | Graphic depiction of sexual activity | meta:format
fan_fiction | Story set in an existing intellectual property universe | meta:format
first_person | Narrative told from "I" perspective | meta:format
fluff | Light, warm, comforting content | meta:format
friends_to_lovers | Narrative trope of friendship becoming romance | meta:format
gritty | Raw, realistic, harsh atmosphere | meta:format
happy_ending | Story concluding with a positive resolution | meta:format
hardcore | Extremely graphic or intense sexual content | meta:format
heist | Elaborate theft or con as plot driver | meta:format
horror | Frightening, unsettling, or terrifying content | meta:format
hurt_comfort | Pain or injury followed by consolation and care | meta:format
lighthearted | Fun, carefree, playful tone | meta:format
long_story | Extended narrative (15000+ words) | meta:format
melancholy | Quiet, reflective sadness pervading the story | meta:format
multi_chapter | Story divided into multiple chapters | meta:format
multiple_pov | Story told from several characters' perspectives | meta:format
mystery | Investigation and puzzle-driven narrative | meta:format
nonlinear | Story told out of chronological order | meta:format
nostalgic | Wistful longing for the past | meta:format
novella | Mid-length narrative (15000-50000 words) | meta:format
open_ending | Deliberately unresolved or ambiguous conclusion | meta:format
parody | Humorous imitation of a genre or work | meta:format
prequel | Story set before events of another story | meta:format
pwp | Plot? What plot? — purely sexual content with minimal story | meta:format
redemption_arc | Character overcoming past wrongs | meta:format
revenge | Story driven by retribution or payback | meta:format
road_trip | Story structured around a journey by vehicle | meta:format
satire | Mocking or ironic commentary through fiction | meta:format
sci_fi | Science fiction genre elements | meta:format
second_person | Narrative told from 'you' perspective | meta:format
sequel | Continuation of a previous story | meta:format
series | Part of a connected series of stories | meta:format
short_story | Brief narrative (under 15000 words) | meta:format
slice_of_life | Everyday experiences and mundane moments | meta:format
slowburn | Alternative spelling/tag for slow_burn | meta:format
steampunk_genre | Victorian-era speculative fiction genre | meta:format
submissive_pov | Scene viewed from sub’s perspective | meta:format
surreal | Strange, dreamlike, otherworldly tone | meta:format
survival | Story focused on enduring against threats | meta:format
suspense | Tension-driven, anxiety-building narrative | meta:format
third_person | Narrative told from "he/she/they" perspective | meta:format
third_person_speech | Characters referring to themselves in third person | meta:format
thriller | Fast-paced, high-stakes tension narrative | meta:format
tragic | Sorrowful narrative centered on loss or failure | meta:format
tragic_ending | Story concluding with loss or failure | meta:format
unreliable_narrator | Narrator whose account cannot be fully trusted | meta:format
vignette | Short evocative scene or snapshot | meta:format
war | Armed conflict as setting or theme | meta:format
wholesome | Pure, heartwarming content | meta:format

================================================================================
ACCESSORIES & OBJECTS
================================================================================
alcohol | Alcoholic drinks present in the scene, part of the setting's social or decadent framing. | meta:prop
altar | A ritual or sacrificial platform, religious or dark-ceremony prop in the scene. | meta:prop
amulet | A protective piece of magical jewelry worn around the neck. | meta:prop
ankle_bracelet | Jewelry worn around the ankle, decorative chain or band. | meta:prop
apron | A front-covering garment protecting the clothes underneath, domestic or costume framing. | meta:prop
armor | Protective combat gear worn as plates, chainmail, or full suits. | meta:prop
axe | A chopping or combat weapon, blade mounted on a handle. | meta:prop
bandages | Wrapped cloth covering wounds or worn for aesthetic framing. | meta:prop
bandana | A folded cloth worn as headband, face-cover, or accessory. | meta:prop
bathrobe | A loose robe typically worn after bathing, soft absorbent fabric. | meta:prop
beer | Beer present in the scene as a social or bar-scene element, casual drinking context. | meta:prop
bell | A small bell worn as accessory, often jingling on a pet-style collar. | meta:prop
belly_chain | A chain worn around the waist or hips, decorative midriff jewelry. | meta:prop
beret | A soft round flat cap, typically wool, worn tilted. | meta:prop
