TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
held_open | A partner physically holds the receiver's legs, buttocks, or labia spread apart during penetration, manually maintaining maximum exposure throughout. | act:position
hoisted | The receiver is lifted entirely off the ground during penetration, supported only by the penetrating partner's strength and grip. | act:position
in_lap | The receiver sits fully in the penetrator's lap during penetration, either facing forward or backward in a close, seated configuration. | act:position
jackhammer_position | The penetrator crouches or stands above the receiver whose legs are raised high, driving downward with rapid, piston-like thrusts powered by leg muscles and gravity. | act:position
jockey_position | The receiver lies flat on their stomach while the penetrator straddles their upper thighs from above, like a jockey mounted on a horse. | act:position
kneeling_blowjob | The giver kneels on the floor in front of the standing or sitting receiver, looking up at them while performing oral sex from below. | act:position
kneeling_bodyguard_position | A kneeling version of the bodyguard position where the penetrator kneels behind the also-kneeling receiver, gripping them tightly around the waist or hips. | act:position
lazy_dog | A relaxed variation of doggystyle where the receiver lies completely flat on their stomach with legs together while the penetrator lies on top entering from behind. | act:position
lazy_spooning | An ultra-relaxed version of spooning sex with minimal active thrusting, relying instead on slow rocking, gentle grinding, and subtle hip movements. | act:position
leapfrog_position | The receiver crouches forward with their chest pressed low and butt raised high in the air, presenting from behind with exaggerated hip elevation above the head. | act:position
leash_pull | The penetrating partner grips and tugs a leash attached to the receiver's collar during sex, using it to direct their body, control rhythm, and reinforce the power dynamic. | act:position
leg_glider_position | The receiver lies on their side with one leg raised high while the penetrator kneels or stands at their hip, entering from the side at a lateral angle. | act:position
legs_behind_head | The receiver places both of their own legs behind their head, creating an extreme stretch that maximally opens them for deep, unobstructed penetration. | act:position
legs_locked | The receiver wraps their legs tightly around the penetrator's waist, back, or thighs and locks ankles, pulling them in deeper with each thrust. | act:position
legs_on_shoulders | The receiver's legs rest up on the penetrator's shoulders during face-to-face sex, elevating the hips and dramatically changing the angle of entry. | act:position
legs_spread_wide | The receiver opens their legs as far as physically possible during penetration, spreading to maximum width for total exposure and unrestricted access. | act:position
lifted_against_wall | The penetrator lifts the receiver entirely off the ground and pins them against a wall, supporting their full weight while thrusting upward between their legs. | act:position
lotus_position | Partners sit facing each other with the receiver in the penetrator's lap, legs wrapped around each other's waists in a close, tantric-inspired embrace. | act:position
male_on_top | The male partner takes the upper, dominant position during penetration, using body weight and hip power to control the pace and depth of each thrust. | act:position
mastery_position | The receiver sits fully on the lap of the seated penetrator facing them, legs wrapped behind the chair or around the waist in a chest-to-chest embrace. | act:position
mating_press | The penetrator pins the receiver's legs back toward their chest and drives downward with full body weight, creating maximum depth and dominant, crushing pressure. | act:position
mating_press_deep | An intensified version of the mating press where the receiver's legs are pushed even further back and the penetrator bears down harder for extreme depth. | act:position
mermaid_position | The receiver keeps their legs pressed tightly together like a mermaid's tail while being penetrated, creating an extremely tight squeeze around the shaft. | act:position
missionary_position | The classic face-to-face position with the penetrator lying on top between the receiver's spread legs, allowing deep eye contact, kissing, and intimate full-body contact. | act:position
mounting | One partner mounts the other from behind in a primal, animalistic configuration where the penetrator covers the receiver's back entirely, often gripping flanks or scruff. | act:position
on_the_edge | The receiver sits or lies on the edge of a bed, table, or other surface with legs hanging off or spread while the penetrator stands between them at matching height. | act:position
ouroboros_position | A circular 69 arrangement involving multiple participants, each performing oral on the next person in an unbroken ring of simultaneous stimulation. | act:position
